,anneal_time,growth,T_growth,pos,T_eff,remarks
1,0,,,,,exposed to oxygen plasma twice for ~2min
2,10,,,,,
3,,,,,,
4,,,,,,"annealed at 400C for 30min, then (at another time) ramped from 520 to 620 over 2h"
5,,,,,,
6,,,,,,
7,1,,,,,
8,2,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
