,anneal,acetone,growth,temp,dummy
1,2-Jun,FALSE,,,
2,,TRUE,,,
3,,TRUE,,,
4,,TRUE,,,
5,,FALSE,,,
6,,TRUE,,,
7,,TRUE,,,
8,,TRUE,,,
9,,FALSE,,,
10,,TRUE,,,
11,,TRUE,,,
12,,TRUE,,,
13,2-Jun,FALSE,2-Jun,900,FALSE
14,2-Jun,FALSE,3-Jun,910,FALSE
15,2-Jun,FALSE,3-Jun,920,FALSE
16,2-Jun,FALSE,4-Jun,910,TRUE
17,2-Jun,FALSE,11-Jun,920,TRUE
